TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,SUSPICIOUS
46236000,1409000,1409000,1409000,1409000,300,0
46237000,1409000,1409100,1409000,1409000,12610,0
46241000,1409100,1409100,1409000,1409000,700,0
46242000,1409000,1409000,1409000,1409000,1100,0
46244000,1409000,1409000,1409000,1409000,100,0
46245000,1409000,1409000,1409000,1409000,100,0
46246000,1409100,1409100,1409000,1409000,3242,0
46248000,1409000,1409000,1409000,1409000,5039,0
46249000,1409000,1409000,1409000,1409000,300,0
46250000,1409100,1409100,1409000,1409000,500,0
46251000,1409000,1409000,1409000,1409000,500,0
46252000,1409000,1409000,1409000,1409000,700,0
46253000,1409100,1409100,1409100,1409100,650,0
46254000,1409000,1409000,1409000,1409000,500,0
46255000,1409000,1409000,1409000,1409000,300,0
46256000,1409000,1409000,1409000,1409000,500,0
46259000,1409100,1409100,1409100,1409100,400,0
46263000,1409000,1409000,1409000,1409000,300,0
46264000,1409100,1409100,1409000,1409000,500,0
46266000,1409000,1409000,1409000,1409000,400,0
46267000,1409000,1409100,1409000,1409000,1243,0
46270000,1409000,1409000,1409000,1409000,9280,0
46271000,1409000,1409100,1409000,1409100,500,0
46272000,1409000,1409000,1409000,1409000,500,0
46273000,1409000,1409000,1409000,1409000,200,0
46274000,1409000,1409000,1409000,1409000,1300,0
46275000,1409100,1409100,1409000,1409000,300,0
46276000,1409000,1409100,1409000,1409000,3097,0
46277000,1409000,1409100,1409000,1409100,400,0
46278000,1409000,1409000,1409000,1409000,100,0
46279000,1409100,1409100,1409100,1409100,135,0
46280000,1409000,1409000,1409000,1409000,4600,0
46281000,1409100,1409100,1409100,1409100,500,0
46283000,1409100,1409100,1409100,1409100,200,0
46284000,1409000,1409000,1409000,1409000,100,0
46285000,1409100,1409100,1409100,1409100,100,0
46289000,1409000,1409000,1409000,1409000,300,0
46290000,1409100,1409100,1409100,1409100,100,0
46291000,1409100,1409100,1409000,1409000,450,0
46292000,1409000,1409000,1409000,1409000,100,0
46293000,1409000,1409000,1409000,1409000,500,0
46294000,1409000,1409000,1408900,1408900,2500,0
46296000,1409000,1409000,1409000,1409000,300,0
46297000,1408900,1408900,1408900,1408900,700,0
46298000,1408900,1408900,1408900,1408900,1500,0
46300000,1409000,1409000,1409000,1409000,100,0
46301000,1409000,1409000,1408900,1409000,500,0
46302000,1409000,1409000,1409000,1409000,100,0
46303000,1408900,1409000,1408900,1409000,1600,0
46304000,1409000,1409000,1409000,1409000,1300,0
46305000,1408900,1408900,1408900,1408900,100,0
46306000,1409000,1409000,1409000,1409000,100,0
46307000,1408900,1409000,1408900,1409000,500,0
46310000,1409000,1409000,1408900,1408900,200,0
46314000,1408900,1408900,1408900,1408900,100,0
46315000,1409000,1409000,1409000,1409000,200,0
46317000,1408900,1408900,1408900,1408900,1500,0
46319000,1409000,1409000,1409000,1409000,500,0
46320000,1409000,1409000,1408900,1408900,5151,0
46321000,1409000,1409000,1409000,1409000,100,0
46322000,1409000,1409000,1409000,1409000,200,0
46324000,1409000,1409000,1408900,1409000,2150,0
46326000,1409000,1409000,1409000,1409000,100,0
46327000,1408900,1408900,1408900,1408900,100,0
46328000,1409000,1409000,1409000,1409000,200,0
46330000,1409000,1409000,1409000,1409000,200,0
46332000,1409000,1409000,1409000,1409000,100,0
46333000,1408900,1409000,1408900,1409000,200,0
46334000,1408900,1409000,1408900,1409000,1500,0
46336000,1409000,1409000,1409000,1409000,2680,0
46338000,1409000,1409000,1409000,1409000,700,0
46339000,1409000,1409000,1409000,1409000,100,0
46340000,1409000,1409000,1409000,1409000,100,0
46341000,1408900,1408900,1408900,1408900,1600,0
46343000,1409000,1409000,1408900,1409000,2000,0
46345000,1408900,1409100,1408900,1409000,14220,0
46346000,1409100,1409100,1409100,1409100,200,0
46347000,1409100,1409100,1409100,1409100,200,0
46349000,1409000,1409000,1409000,1409000,100,0
46350000,1409100,1409100,1409100,1409100,200,0
46351000,1409000,1409100,1409000,1409100,300,0
